time,milliseconds,measurement,value,field,type,host,device,platform
15:46:35:526,18301,IMU,968,ay,acceleration,Name,Device1,Android
15:46:35:526,18301,IMU,117,az,acceleration,Name,Device1,Android
15:46:35:544,18319,IMU,-9,gx,gyration,Name,Device1,Android
15:46:35:544,18319,IMU,-26,gy,gyration,Name,Device1,Android
15:46:35:544,18319,IMU,24,gz,gyration,Name,Device1,Android
15:46:35:567,18342,IMU,1187,mx,magnet,Name,Device1,Android
15:46:35:567,18342,IMU,-5989,my,magnet,Name,Device1,Android
15:46:35:567,18342,IMU,2789,mz,magnet,Name,Device1,Android
15:46:35:589,18364,sensor,230,a0,adc,Name,Device1,Android
15:46:35:611,18387,IMU,144,ax,acceleration,Name,Device1,Android
15:46:35:611,18387,IMU,980,ay,acceleration,Name,Device1,Android
15:46:35:611,18387,IMU,-126,az,acceleration,Name,Device1,Android
15:46:35:634,18409,IMU,-4,gx,gyration,Name,Device1,Android
15:46:35:634,18409,IMU,-11,gy,gyration,Name,Device1,Android
15:46:35:634,18409,IMU,5,gz,gyration,Name,Device1,Android
15:46:35:657,18432,IMU,1213,mx,magnet,Name,Device1,Android
15:46:35:657,18432,IMU,-5928,my,magnet,Name,Device1,Android
15:46:35:657,18432,IMU,2750,mz,magnet,Name,Device1,Android
15:46:35:679,18454,sensor,288,a0,adc,Name,Device1,Android
15:46:35:702,18477,IMU,20,ax,acceleration,Name,Device1,Android
15:46:35:702,18477,IMU,994,ay,acceleration,Name,Device1,Android
15:46:35:702,18477,IMU,-188,az,acceleration,Name,Device1,Android
15:46:35:725,18500,IMU,17,gx,gyration,Name,Device1,Android
15:46:35:725,18500,IMU,-93,gy,gyration,Name,Device1,Android
15:46:35:725,18500,IMU,-11,gz,gyration,Name,Device1,Android
15:46:35:747,18522,IMU,1166,mx,magnet,Name,Device1,Android
15:46:35:747,18522,IMU,-5961,my,magnet,Name,Device1,Android
15:46:35:747,18522,IMU,2854,mz,magnet,Name,Device1,Android
15:46:35:770,18545,sensor,96,a0,adc,Name,Device1,Android
15:46:35:792,18567,IMU,-62,ax,acceleration,Name,Device1,Android
15:46:35:792,18567,IMU,1030,ay,acceleration,Name,Device1,Android
15:46:35:792,18567,IMU,-531,az,acceleration,Name,Device1,Android
15:46:35:815,18590,IMU,80,gx,gyration,Name,Device1,Android
15:46:35:815,18590,IMU,-133,gy,gyration,Name,Device1,Android
15:46:35:815,18590,IMU,-32,gz,gyration,Name,Device1,Android
15:46:35:837,18612,IMU,1174,mx,magnet,Name,Device1,Android
15:46:35:837,18612,IMU,-5970,my,magnet,Name,Device1,Android
15:46:35:837,18612,IMU,3078,mz,magnet,Name,Device1,Android
15:46:35:859,18634,sensor,31,a0,adc,Name,Device1,Android
15:46:35:886,18661,IMU,355,ax,acceleration,Name,Device1,Android
15:46:35:886,18661,IMU,1100,ay,acceleration,Name,Device1,Android
15:46:35:886,18661,IMU,-388,az,acceleration,Name,Device1,Android
15:46:35:904,18679,IMU,51,gx,gyration,Name,Device1,Android
15:46:35:904,18679,IMU,-199,gy,gyration,Name,Device1,Android
15:46:35:904,18679,IMU,-63,gz,gyration,Name,Device1,Android
15:46:35:927,18702,IMU,1313,mx,magnet,Name,Device1,Android
15:46:35:927,18702,IMU,-5934,my,magnet,Name,Device1,Android
15:46:35:927,18702,IMU,3591,mz,magnet,Name,Device1,Android
15:46:35:949,18725,sensor,132,a0,adc,Name,Device1,Android
15:46:35:976,18751,IMU,712,ax,acceleration,Name,Device1,Android
15:46:35:976,18751,IMU,597,ay,acceleration,Name,Device1,Android
15:46:35:976,18751,IMU,689,az,acceleration,Name,Device1,Android
15:46:35:995,18770,IMU,53,gx,gyration,Name,Device1,Android
15:46:35:995,18770,IMU,-191,gy,gyration,Name,Device1,Android
15:46:35:995,18770,IMU,-31,gz,gyration,Name,Device1,Android
15:46:36:17,18792,IMU,1584,mx,magnet,Name,Device1,Android
15:46:36:17,18792,IMU,-5977,my,magnet,Name,Device1,Android
15:46:36:17,18792,IMU,3907,mz,magnet,Name,Device1,Android
15:46:36:40,18815,sensor,212,a0,adc,Name,Device1,Android
